Claim Amount,Coverage,Education,Employment Status,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Claim Reason,Sales Channel,Fraudulent
276,Basic,Bachelor,Employed,56274,Married,69,32,5,Collision,Agent,0
698,Extended,Bachelor,Unemployed,0,Single,94,13,42,Scratch or Dent,Agent,0
1289,Premium,Bachelor,Employed,48767,Married,108,18,38,Collision,Agent,0
765,Basic,Bachelor,Unemployed,0,Married,106,18,65,Collision,CallCenter,0
281,Basic,Bachelor,Employed,43836,Single,73,12,44,Collision,Agent,0
826,Basic,Bachelor,Employed,62902,Married,69,14,94,Hail,Web,0
538,Basic,College,Employed,55350,Married,67,0,13,Collision,Agent,0
722,Premium,Master,Unemployed,0,Single,101,0,68,Collision,Agent,0
2413,Basic,Bachelor,Medical Leave,14072,Divorced,71,13,3,Collision,Agent,0
739,Extended,College,Employed,28812,Married,93,17,7,Hail,Branch,0
474,Basic,College,Unemployed,0,Single,67,23,5,Collision,Agent,0
820,Basic,College,Unemployed,0,Married,110,27,87,Hail,Agent,0
880,Premium,Master,Employed,77026,Married,110,9,82,Hail,Agent,0
882,Basic,High School,Employed,99845,Married,110,23,25,Hail,Branch,0
538,Basic,College,Employed,83689,Single,70,21,10,Other,CallCenter,0
746,Basic,Bachelor,Employed,24599,Married,64,12,50,Hail,Branch,0
257,Basic,High School,Medical Leave,25049,Married,67,14,7,Hail,CallCenter,0
395,Basic,College,Medical Leave,28855,Married,101,12,59,Scratch or Dent,CallCenter,0
571,Basic,College,Employed,51148,Married,72,9,1,Hail,Branch,0
816,Premium,High School,Employed,66140,Married,101,11,21,Collision,CallCenter,0
287,Basic,High School,Employed,57749,Single,74,31,21,Collision,Branch,0
304,Extended,Bachelor,Disabled,13789,Divorced,79,8,49,Other,CallCenter,0
2413,Basic,Bachelor,Medical Leave,14072,Divorced,71,13,3,Collision,Agent,0
245,Basic,Bachelor,Unemployed,0,Single,73,4,44,Collision,Branch,0
239,Basic,Bachelor,Disabled,17870,Married,61,30,91,Hail,Branch,0
580,Basic,College,Employed,97541,Married,72,22,1,Hail,CallCenter,0
395,Premium,Bachelor,Unemployed,0,Single,111,15,47,Collision,Agent,0
535,Extended,Master,Disabled,10511,Married,139,33,64,Collision,Branch,0
1290,Premium,College,Employed,86584,Single,111,33,54,Collision,CallCenter,0
324,Extended,Master,Employed,75690,Married,80,17,44,Hail,Branch,0
245,Basic,College,Employed,23158,Married,63,4,6,Other,CallCenter,0
1898,Extended,High School,Employed,65999,Married,237,1,14,Hail,Agent,0
472,Basic,Bachelor,Unemployed,0,Married,65,19,56,Collision,CallCenter,0
502,Basic,Bachelor,Employed,54500,Married,63,28,17,Collision,Agent,0
493,Basic,Bachelor,Employed,37260,Married,62,19,42,Scratch or Dent,Web,0
574,Basic,High School,Employed,68987,Married,71,11,40,Collision,Branch,0
1389,Premium,Bachelor,Employed,42305,Married,117,10,62,Collision,Agent,0
738,Extended,Master,Employed,65706,Married,91,19,86,Hail,Web,0
309,Extended,Bachelor,Unemployed,0,Single,90,7,79,Scratch or Dent,Agent,0
252,Basic,High School,Employed,53243,Divorced,66,4,15,Collision,CallCenter,0
265,Basic,High School,Unemployed,0,Married,70,7,1,Scratch or Dent,CallCenter,1
277,Basic,College,Employed,50071,Single,71,3,32,Hail,Agent,0
394,Extended,Bachelor,Employed,60021,Married,99,12,28,Hail,Agent,0
1223,Basic,High School,Employed,43244,Married,103,15,16,Other,Agent,0
244,Basic,College,Employed,92834,Married,61,15,56,Hail,CallCenter,0
1282,Premium,Doctor,Disabled,10105,Married,172,5,4,Collision,Branch,0
447,Basic,Bachelor,Unemployed,0,Single,73,7,57,Scratch or Dent,CallCenter,1
551,Basic,High School,Employed,23218,Single,71,7,10,Other,Agent,0
334,Extended,Bachelor,Unemployed,0,Married,92,11,77,Hail,CallCenter,0
229,Basic,High School,Unemployed,0,Married,62,11,56,Other,Branch,0
3671,Basic,College,Employed,24804,Married,104,1,28,Collision,Agent,0
3347,Basic,Bachelor,Employed,33190,Divorced,106,18,95,Collision,Web,0
798,Basic,High School,Employed,36014,Married,69,4,40,Other,Branch,0
485,Basic,Bachelor,Employed,29834,Single,64,19,44,Other,Agent,0
429,Premium,Bachelor,Disabled,16701,Married,113,20,26,Collision,Branch,0
716,Extended,College,Employed,46623,Divorced,91,1,53,Scratch or Dent,CallCenter,0
762,Basic,College,Employed,64749,Married,64,24,59,Hail,Branch,0
396,Basic,High School,Unemployed,0,Married,101,29,12,Collision,CallCenter,0
450,Extended,High School,Disabled,16969,Divorced,124,34,47,Collision,CallCenter,0
406,Premium,Master,Disabled,11621,Divorced,108,4,98,Collision,Agent,0
446,Basic,Bachelor,Retired,17622,Divorced,65,1,36,Collision,Agent,0
811,Premium,Bachelor,Medical Leave,11489,Married,105,4,50,Collision,CallCenter,0
334,Extended,Bachelor,Unemployed,0,Single,94,20,53,Collision,Agent,0
2426,Basic,High School,Employed,66525,Married,100,0,86,Collision,Agent,0
661,Basic,Bachelor,Unemployed,0,Single,63,21,28,Scratch or Dent,Branch,0
293,Basic,College,Employed,33663,Married,73,29,71,Scratch or Dent,Web,0
867,Basic,College,Employed,22547,Divorced,112,7,60,Collision,Agent,0
1164,Extended,High School,Employed,61486,Married,97,5,65,Other,Branch,0
685,Extended,Bachelor,Unemployed,0,Divorced,95,13,20,Collision,CallCenter,0
1173,Premium,College,Disabled,29879,Married,102,17,0,Scratch or Dent,Web,0
2264,Basic,High School,Employed,93011,Divorced,113,17,12,Other,Agent,0
261,Basic,Master,Employed,65186,Married,65,29,27,Hail,Web,0
245,Basic,Master,Medical Leave,26840,Married,64,1,47,Collision,Agent,0
678,Basic,Bachelor,Unemployed,0,Single,104,30,3,Collision,Agent,0
497,Basic,Bachelor,Employed,75644,Divorced,65,5,68,Hail,Branch,0
859,Basic,Bachelor,Employed,38984,Married,73,27,38,Hail,Branch,0
559,Basic,High School,Employed,71811,Single,71,17,48,Hail,CallCenter,1
801,Basic,College,Employed,20961,Married,67,20,33,Hail,Agent,0
1132,Extended,College,Employed,38923,Married,99,6,83,Collision,Agent,0
5817,Basic,Bachelor,Employed,61321,Single,186,0,30,Hail,Branch,0
803,Extended,College,Unemployed,0,Single,77,20,26,Scratch or Dent,Branch,0
578,Basic,High School,Employed,51066,Single,74,23,0,Hail,CallCenter,1
412,Basic,Doctor,Employed,34378,Married,102,12,54,Scratch or Dent,Branch,0
252,Basic,Master,Employed,43072,Married,63,35,15,Hail,CallCenter,0
655,Extended,College,Disabled,25222,Single,90,28,69,Hail,Agent,0
770,Basic,High School,Employed,36765,Married,66,15,32,Collision,CallCenter,0
593,Extended,College,Retired,23091,Married,96,28,90,Collision,Agent,0
268,Basic,Bachelor,Employed,48269,Married,69,3,79,Scratch or Dent,Web,0
270,Basic,Bachelor,Employed,32720,Divorced,67,13,12,Scratch or Dent,Branch,0
605,Extended,College,Employed,20396,Married,76,15,60,Collision,Branch,0
1317,Premium,College,Medical Leave,21513,Married,119,21,81,Hail,Branch,0
1066,Extended,Bachelor,Employed,72540,Married,88,7,3,Hail,CallCenter,0
253,Basic,Bachelor,Employed,80744,Married,63,24,84,Collision,Agent,0
267,Basic,Bachelor,Employed,52822,Married,67,23,88,Collision,Branch,0
531,Extended,High School,Unemployed,0,Single,77,8,10,Collision,Agent,0
2095,Basic,Bachelor,Employed,69738,Married,74,2,26,Collision,Branch,0
838,Basic,Master,Medical Leave,17780,Married,109,12,18,Collision,Branch,0
480,Basic,Bachelor,Medical Leave,18107,Married,62,29,11,Collision,Agent,0
575,Basic,Bachelor,Employed,57740,Married,74,30,87,Scratch or Dent,Web,0
607,Extended,College,Employed,32627,Married,76,11,60,Collision,Agent,0
800,Basic,College,Unemployed,0,Married,107,3,65,Collision,Agent,0
239,Basic,College,Unemployed,0,Single,70,24,10,Collision,Branch,0
476,Basic,Bachelor,Employed,65795,Single,62,2,85,Scratch or Dent,CallCenter,0
433,Premium,College,Employed,60475,Married,107,9,18,Hail,Branch,0
940,Extended,High School,Unemployed,0,Single,130,28,88,Collision,Web,1
697,Extended,Bachelor,Employed,41837,Married,88,29,93,Collision,CallCenter,0
769,Basic,Bachelor,Employed,32303,Married,65,13,34,Scratch or Dent,Branch,0
872,Basic,High School,Unemployed,0,Married,117,5,89,Collision,Agent,0
593,Basic,Bachelor,Employed,40531,Married,74,17,32,Collision,Agent,0
245,Basic,College,Employed,79898,Married,62,5,86,Other,Agent,0
670,Extended,College,Employed,56398,Married,85,4,18,Other,Agent,0
756,Extended,High School,Employed,35257,Divorced,98,16,2,Hail,Web,1
849,Basic,College,Employed,27804,Married,109,19,54,Hail,Branch,0
771,Basic,Bachelor,Employed,45506,Single,66,16,32,Collision,Agent,0
2408,Basic,High School,Employed,65196,Married,67,0,54,Other,Branch,0
729,Basic,High School,Unemployed,0,Married,102,11,70,Collision,Agent,0
477,Extended,High School,Retired,20993,Divorced,133,35,90,Hail,Agent,0
681,Extended,High School,Employed,37839,Married,86,35,77,Hail,Branch,0
247,Basic,Bachelor,Employed,92711,Single,62,24,10,Scratch or Dent,Agent,0
310,Extended,College,Employed,74665,Married,78,10,90,Hail,CallCenter,0
298,Extended,College,Unemployed,0,Married,83,26,89,Scratch or Dent,Web,0
890,Basic,Bachelor,Employed,46833,Married,112,6,3,Collision,CallCenter,0
550,Basic,High School,Employed,88768,Married,68,17,77,Scratch or Dent,Branch,0
1502,Basic,High School,Employed,28262,Single,192,9,77,Scratch or Dent,Web,1
251,Basic,Bachelor,Employed,33555,Married,63,17,11,Collision,Agent,0
3122,Premium,College,Employed,42780,Divorced,113,10,27,Collision,CallCenter,0
313,Extended,Master,Employed,58850,Single,78,20,26,Hail,Branch,0
